name,president,president_byline,date,title,initial_joy,initial_sadness,initial_fear,initial_disgust,initial_surprise,revised_joy,revised_sadness,revised_fear,revised_disgust,revised_surprise,initial_idelogical_tilt,initial_immigration,initial_executive_power,initial_federalism,initial_security_liberty,initial_economic_regulation,initial_social_inclusion,revised_idelogical_tilt,revised_immigration,revised_executive_power,revised_federalism,revised_security_liberty,revised_economic_regulation,revised_social_inclusion
executive-order-12801-barring-overflight-takeoff-and-landing-aircraft-flying-or-from-libya,George Bush,41st President of the United States: 1989 ‐ 1993,1992-04-15,"Executive Order 12801-Barring Overflight, Takeoff, and Landing of Aircraft Flying to or from Libya",1.0,3.0,5.0,4.0,1.0,1.0,3.0,6.0,5.0,1.0,-1.0,0.0,3.0,0.0,4.0,0.0,0.0,-1.0,0.0,3.0,0.0,4.0,0.0,0.0
executive-order-8452-exemption-albert-clyde-burton-from-compulsory-retirement-for-age,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-06-20,Executive Order 8452-Exemption of Albert Clyde-Burton From Compulsory Retirement for Age,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-9084-amending-executive-order-no-8512-august-13-1940-prescribing,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1942-03-03,"Executive Order 9084-Amending Executive Order No. 8512 of August 13, 1940, Prescribing Regulations Pertaining to Budgetary Administration and Financial Reporting",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0
executive-order-8510-establishing-the-carolina-sandhills-wildlife-management-area,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1940-08-08,Executive Order 8510-Establishing the Carolina Sandhills Wildlife Management Area,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0
executive-order-7776-modification-executive-order-no-7709-september-16-1937-abolishing-the,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1937-12-27,"Executive Order 7776-Modification of Executive Order No. 7709-A of September 16, 1937, Abolishing the National Emergency Council",1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
executive-order-6422-code-fair-competition-for-the-hardwood-distillation-industry,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-11-10,Executive Order 6422-Code of Fair Competition for the Hardwood Distillation Industry,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0
executive-order-11351-amending-executive-order-no-11318-designating-the-european-space,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1967-05-22,"Executive Order 11351-Amending Executive Order No. 11318, Designating the European Space Research Organization as a Public International Organization",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-5897-temporary-exemption-william-bertrand-acker-from-compulsory-retirement,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1932-07-30,Executive Order 5897-Temporary Exemption of William Bertrand Acker from Compulsory Retirement for Age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-5987-revocation-withdrawal-public-lands-california,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1933-01-04,Executive Order 5987-Revocation of Withdrawal of Public Lands in California,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-94,William McKinley,25th President of the United States: 1897 ‐ 1901,1898-07-04,Executive Order,9.0,1.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13560-white-house-council-for-community-solutions,Barack Obama,44th President of the United States: 2009 ‐ 2017,2010-12-14,Executive Order 13560-White House Council for Community Solutions,7.0,3.0,1.0,1.0,5.0,8.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0
executive-order-11820-international-council-archives-bicentennial-year-meeting,Gerald R. Ford,38th President of the United States: 1974 ‐ 1977,1974-11-27,Executive Order 11820-International Council on Archives-Bicentennial Year Meeting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-5035-abolishing-frenchville-maine-customs-port-entry,Calvin Coolidge,30th President of the United States: 1923 ‐ 1929,1929-01-23,"Executive Order 5035-Abolishing Frenchville, Maine as a Customs Port of Entry",1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9453-participation-the-united-states-the-work-the-united-nations-relief,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1944-07-06,Executive Order 9453-Participation by the United States in the Work of the United Nations Relief and Rehabilitation Administration,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0
executive-order-6801-designating-the-honorable-felix-cordova-davila-acting-judge-the,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-07-27,Executive Order 6801-Designating the Honorable Felix Cordova Davila as Acting Judge of the District Court of the United States for Puerto Rico,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
