path,input_tokens,output_tokens,duration,error
commission-appointing-commissioners-for-surveying-the-district-territory-for-the-permanent.json,1237,90,1.2113468647003174,
executive-order-10.json,1024,81,1.2978856563568115,
executive-order-0.json,982,86,1.3875651359558105,
executive-order-1000-alamo-national-forest-new-mexico.json,1851,91,1.5206584930419922,
executive-order-100.json,1248,104,1.5387890338897705,
executive-order-10000-regulations-governing-additional-compensation-and-credit-granted.json,5493,133,1.6018311977386475,
executive-order-1.json,982,104,1.677976369857788,
executive-order-10002-exemption-lawrence-m-lawson-from-compulsory-retirement-for-age.json,942,55,0.8945763111114502,
executive-order-10001-prescribing-or-amending-portions-the-selective-service-regulations.json,22026,111,2.104384660720825,
executive-order-10004-prescribing-procedures-for-the-administration-the-reciprocal-trade.json,3470,119,1.3022947311401367,
executive-order-10005-establishing-the-presidents-advisory-commission-the-relation-federal.json,1382,101,1.353053092956543,
executive-order-10006-preparation-presentation-filing-and-publicaton-executive-orders-and.json,1921,104,1.368342638015747,
executive-order-10003-providing-for-the-investigation-and-report-displaced-persons-seeking.json,1151,192,1.6932029724121094,
executive-order-10008-amending-the-selective-service-regulations.json,7831,118,1.3875415325164795,
executive-order-10007-organization-the-reserve-units-the-armed-forces.json,1318,132,1.5574519634246826,
executive-order-10010-creating-emergency-board-investigate-disputes-between-the-akron.json,3016,106,1.261479377746582,
executive-order-10009-revoking-part-executive-orders-no-589-march-14-1907-and-no-1712.json,1437,146,1.585463523864746,
executive-order-10011-authorizing-the-secretary-state-exercise-certain-powers-the.json,1937,118,1.4576146602630615,
executive-order-10014-directing-federal-agencies-cooperate-with-sate-and-local-authorities.json,1155,96,1.3157331943511963,
executive-order-10016-coat-arms-seal-and-flag-the-vice-president-the-united-states.json,1452,91,1.1577534675598145,
executive-order-10012-excluding-from-the-provisions-the-classification-act-1923-amended.json,1198,152,1.5154709815979004,
executive-order-10015-amendment-executive-order-no-10010-creating-emergency-board.json,1211,124,1.4102332592010498,
executive-order-10017-amendment-the-regulations-governing-the-appointment-postmasters-the.json,1195,92,1.1686532497406006,
executive-order-10013-establishing-the-presidents-committee-religious-and-moral-welfare.json,1320,126,1.909902572631836,
executive-order-10018-transferring-the-control-and-jurisdiction-over-certain-tracts-land.json,2579,134,1.3521089553833008,
executive-order-10019-excusing-federal-employees-from-duty-one-half-day-december-24-1948.json,1144,81,1.098236322402954,
executive-order-10021-further-exemption-harry-b-mitchell-from-compulsory-retirement-for.json,1119,100,1.1820533275604248,
executive-order-10020-prescribing-the-manual-for-courts-martial-us-army-1949.json,1342,103,1.215320348739624,
executive-order-10024-restoration-lands-location-and-entry-under-the-mining-laws-the.json,1157,108,1.3187789916992188,
executive-order-10022-transferring-the-use-possession-and-control-certain-lands-from-the.json,1291,134,1.5927519798278809,
