path,input_tokens,output_tokens,duration,error
executive-order-0.json,398,79,1.1156063079833984,
executive-order-1.json,398,114,1.4885196685791016,
executive-order-10.json,440,172,1.5127995014190674,
executive-order-1000-alamo-national-forest-new-mexico.json,1267,158,1.6627013683319092,
executive-order-10000-regulations-governing-additional-compensation-and-credit-granted.json,4909,145,1.7989165782928467,
executive-order-100.json,664,242,1.9185678958892822,
executive-order-10002-exemption-lawrence-m-lawson-from-compulsory-retirement-for-age.json,358,43,0.8150970935821533,
commission-appointing-commissioners-for-surveying-the-district-territory-for-the-permanent.json,653,216,2.0313546657562256,
executive-order-10001-prescribing-or-amending-portions-the-selective-service-regulations.json,21442,202,2.4879655838012695,
executive-order-10003-providing-for-the-investigation-and-report-displaced-persons-seeking.json,567,122,1.3207671642303467,
executive-order-10007-organization-the-reserve-units-the-armed-forces.json,734,103,1.1640067100524902,
executive-order-10005-establishing-the-presidents-advisory-commission-the-relation-federal.json,798,136,1.4895691871643066,
executive-order-10008-amending-the-selective-service-regulations.json,7247,83,1.232121229171753,
executive-order-10006-preparation-presentation-filing-and-publicaton-executive-orders-and.json,1337,127,1.4233317375183105,
executive-order-10009-revoking-part-executive-orders-no-589-march-14-1907-and-no-1712.json,853,121,1.3255341053009033,
executive-order-10004-prescribing-procedures-for-the-administration-the-reciprocal-trade.json,2886,225,2.084907054901123,
executive-order-10010-creating-emergency-board-investigate-disputes-between-the-akron.json,2432,132,1.477961540222168,
executive-order-10011-authorizing-the-secretary-state-exercise-certain-powers-the.json,1353,100,1.2309789657592773,
executive-order-10014-directing-federal-agencies-cooperate-with-sate-and-local-authorities.json,571,103,1.1768662929534912,
executive-order-10015-amendment-executive-order-no-10010-creating-emergency-board.json,627,134,1.4302582740783691,
executive-order-10013-establishing-the-presidents-committee-religious-and-moral-welfare.json,736,145,1.5320649147033691,
executive-order-10018-transferring-the-control-and-jurisdiction-over-certain-tracts-land.json,1995,52,0.8170320987701416,
executive-order-10017-amendment-the-regulations-governing-the-appointment-postmasters-the.json,611,118,1.3040590286254883,
executive-order-10012-excluding-from-the-provisions-the-classification-act-1923-amended.json,614,224,1.8449177742004395,
executive-order-10016-coat-arms-seal-and-flag-the-vice-president-the-united-states.json,868,113,1.6839501857757568,
executive-order-10019-excusing-federal-employees-from-duty-one-half-day-december-24-1948.json,560,198,1.827486276626587,
executive-order-10020-prescribing-the-manual-for-courts-martial-us-army-1949.json,758,154,1.5287790298461914,
executive-order-10022-transferring-the-use-possession-and-control-certain-lands-from-the.json,707,133,1.3410966396331787,
executive-order-10023-amendment-executive-order-9984-july-31-1948-prescribing-regulations.json,858,109,1.2614045143127441,
executive-order-10021-further-exemption-harry-b-mitchell-from-compulsory-retirement-for.json,535,145,1.4157896041870117,
executive-order-10024-restoration-lands-location-and-entry-under-the-mining-laws-the.json,573,106,1.2642269134521484,
executive-order-10026-adopting-the-manual-for-courts-martial-us-army-1949-for-use-the.json,2685,130,1.3962340354919434,
executive-order-10025-designating-public-international-organizations-entitled-enjoy.json,670,140,1.5976641178131104,
executive-order-10026-korea.json,350,32,0.7747373580932617,
executive-order-10027-extension-trust-periods-indian-lands-expiring-during-the-calendar.json,609,84,1.123342514038086,
executive-order-10030-administration-and-supervision-the-district-columbia-national-guard.json,609,140,1.4133169651031494,
executive-order-10029-creating-emergency-board-investigate-dispute-between-the-northwest.json,640,162,1.5110433101654053,
executive-order-10028-defining-noncombatant-service-and-noncombatant-training.json,564,155,1.6337060928344727,
executive-order-10032-creating-emergency-board-investigate-dispute-between-the-akron.json,1348,104,1.3804428577423096,
executive-order-10031-separation-officers-the-public-health-service-grounds-disloyalty.json,754,217,1.7512414455413818,
executive-order-10033-regulations-governing-the-providing-statistical-information.json,1206,159,1.5590343475341797,
executive-order-10035-designating-the-honorable-luis-negron-fernandez-acting-judge-the.json,547,91,1.1183555126190186,
executive-order-10034-further-exemption-john-monroe-johnson-from-compulsory-retirement-for.json,584,200,1.668365716934204,
executive-order-10037-creating-emergency-board-investigate-dispute-between-the-denver-rio.json,650,131,1.264601230621338,
executive-order-10038-creating-emergency-board-investigate-dispute-between-the-carriers.json,668,96,1.1637251377105713,
executive-order-10036-restoration-lands-location-and-entry-under-the-mining-laws-the.json,606,120,1.3839361667633057,
executive-order-10041-restoring-certain-lands-the-united-states-naval-reservation-hanapepe.json,896,81,1.0528249740600586,
executive-order-10043-changing-the-name-the-presidents-committee-religious-and-moral.json,473,81,1.0289239883422852,
executive-order-10039-authorizing-the-civil-service-commission-confer-competitive-status.json,580,125,1.5358467102050781,
executive-order-10040-amendment-executive-order-no-9999-suspending-certain-statutory.json,671,132,1.4446601867675781,
executive-order-10042-making-certain-changes-the-customs-field-organization.json,874,124,1.4530713558197021,
executive-order-10046-transferring-certain-lands-from-the-department-agriculture-the.json,11651,88,1.2748212814331055,
executive-order-10047-restoring-portion-honolulu-harbor-the-jurisdicton-the-territory.json,1219,93,1.1042020320892334,
executive-order-10045-creating-emergency-board-investigate-dispute-between-the-wabash.json,664,147,1.5762908458709717,
executive-order-10044-amendment-executive-order-no-9-january-17-1873-relating-the-holding.json,573,183,1.7249984741210938,
executive-order-10049-delegating-the-authority-the-president-prescribe-clothing-allowances.json,670,217,1.6823785305023193,
executive-order-10048-creating-emergency-board-investigate-dispute-between-the-southern.json,648,229,1.865487813949585,
executive-order-10050-creating-emergency-board-investigate-dispute-between-the-railway.json,649,259,2.002547264099121,
executive-order-10052-enlarging-naval-petroleum-reserve-no-1-revoking-part-public-land.json,735,127,1.3066678047180176,
executive-order-10051-creating-emergency-board-investigate-dispute-between-the-aliquippa.json,651,280,2.058300495147705,
executive-order-10054-modifying-executive-order-no-9721-providing-for-the-transfer.json,586,126,1.245234727859497,
executive-order-10055-amendment-executive-order-no-9-january-17-1873-relating-the-holding.json,760,119,1.2021632194519043,
executive-order-10057-transferring-the-american-battle-monuments-commission-functions.json,981,146,1.383878231048584,
executive-order-10056-creating-emergency-board-investigate-dispute-between-the-union.json,648,169,1.7022197246551514,
executive-order-10053-regulations-governing-the-transportation-household-goods-members-the.json,18376,275,2.5363452434539795,
executive-order-10061-amendment-executive-order-no-9871-amended-prescribing-regulations.json,967,113,1.1920630931854248,
executive-order-10058-restoring-certain-lands-keaukaha-waiakea-south-hilo-hawaii-the.json,960,138,1.5702276229858398,
executive-order-10062-establishing-the-position-united-states-high-commissioner-for.json,826,107,1.2477586269378662,
executive-order-10059-amendment-executive-order-no-9195-july-7-1942-amended-prescribing.json,1055,173,1.5793213844299316,
executive-order-10060-restoring-certain-land-comprising-the-keaahala-military-reservation.json,671,231,1.9146764278411865,
executive-order-10068-revoking-order-no-2458-or-september-20-1916-establishing-inter.json,432,86,1.1726305484771729,
executive-order-10066-including-certain-lands-the-cherokee-national-forest.json,827,138,1.3367974758148193,
executive-order-10063-defining-certain-functions-the-united-states-high-commissioner-for.json,576,214,1.8137190341949463,
executive-order-10069-amendment-executive-order-no-9805-prescribing-regulaitons-governing.json,942,119,1.4388415813446045,
executive-order-10065-termination-the-office-defense-transportation.json,805,226,1.8370158672332764,
executive-order-10067-creating-emergency-board-investigate-dispute-between-the-missouri.json,665,208,1.7090299129486084,
executive-order-10070-amending-executive-order-no-9975-july-7-1948-prescribing-regulations.json,660,102,1.1497130393981934,
executive-order-10064-further-extension-executive-order-no-9898-october-14-1947-amended.json,819,356,2.4862937927246094,
executive-order-10072-provide-for-continuing-action-improve-the-management-the-executive.json,836,109,1.3097515106201172,
executive-order-10077-transfer-the-administration-the-island-guam-from-the-secretary-the.json,849,77,1.0350568294525146,
executive-order-10074-transfer-the-district-land-office-carson-city-nevada-reno-nevada.json,506,152,1.4951813220977783,
executive-order-10071-creating-emergency-board-investigate-dispute-between-the-southern.json,643,207,1.7918496131896973,
executive-order-10075-eliminating-certain-public-lands-from-naval-petroleum-reserve-no-2.json,938,109,1.4093124866485596,
executive-order-10076-inspection-income-excess-profits-and-declared-value-excess-profits.json,559,133,1.4135031700134277,
executive-order-10073-exemption-eugene-black-from-compulsory-retirement-for-age.json,547,206,1.6842575073242188,
executive-order-10079-transferring-certain-property-the-virgin-islands-the-permanent.json,699,80,1.089278221130371,
executive-order-10078-creating-emergency-board-investigate-dispute-between-the-monongahela.json,668,137,1.433109998703003,
executive-order-10080-enabling-certain-employees-the-federal-government-acquire.json,743,117,1.32330322265625,
executive-order-10084-prescribing-regulations-for-the-administration-certain-provisions.json,546,78,1.1542789936065674,
executive-order-10083-revocation-executive-orders-nos-9698-9751-and-9823-so-far-they.json,601,100,1.2707536220550537,
executive-order-10081-designation-certain-officers-act-postmaster-general.json,544,129,1.3571293354034424,
executive-order-10085-amendment-executive-order-no-10011-authorizing-the-secretary-state.json,658,119,1.4816629886627197,
executive-order-10082-prescribing-procedures-for-the-administration-the-reciprocal-trade.json,2719,176,1.7078633308410645,
executive-order-10086-designating-the-south-pacific-commission-public-international.json,539,115,1.3502261638641357,
executive-order-10087-amendment-executive-order-no-10057-may-14-1949-transferring-the.json,992,111,1.2952258586883545,
executive-order-10093-revocation-executive-order-no-9512-january-16-1945-providing-for.json,433,55,0.8749606609344482,
executive-order-10089-suspending-certain-statutory-provisions-relating-employment-the.json,568,117,1.3716983795166016,
executive-order-10091-extension-trust-periods-indian-lands-expiring-during-the-calendar.json,592,153,1.5625386238098145,
executive-order-10092-establishing-airspace-reservation-over-certain-areas-the-superior.json,3592,106,1.3269901275634766,
executive-order-10090-inspection-income-tax-returns-federal-trade-commission.json,618,197,1.754638671875,
executive-order-10088-making-certain-changes-the-customs-field-organization.json,609,239,2.072589874267578,
executive-order-10094-further-exemption-clyde-b-aitchison-from-compulsory-retirement-for.json,626,131,1.3608076572418213,
executive-order-10095-establishment-the-presidents-water-resources-policy-commission.json,979,182,1.7458741664886475,
executive-order-10096-providing-for-uniform-patent-policy-for-the-government-with-respect.json,2470,81,1.178720235824585,
executive-order-10097-designating-the-honorable-cecil-snyder-acting-judge-the-united.json,563,139,1.4653778076171875,
executive-order-10098-amendment-executive-order-no-10084-october-12-1949-prescribing.json,519,100,1.2673890590667725,
executive-order-10100-regulations-relating-the-granting-certain-allowances-the-director.json,652,98,1.0966801643371582,
executive-order-101.json,500,114,1.2339465618133545,
executive-order-10101-amendment-executive-order-no-9746-july-1-1946-relating-the-panama.json,802,151,1.5163943767547607,
executive-order-10103-amendment-executive-order-no-9721-may-10-1946-providing-for-the.json,896,105,1.2165272235870361,
executive-order-10099-providing-for-the-administration-the-mutual-defense-assistance-act.json,916,257,2.1229190826416016,
executive-order-10102-transfer-certain-business-operations-facilities-and-appurtenances.json,1559,131,1.473700761795044,
executive-order-10104-defining-certain-vital-military-and-naval-installations-and.json,1448,125,1.3215315341949463,
executive-order-10107-revocation-executive-order-no-8232-september-5-1939-relating-the.json,456,69,1.099700689315796,
executive-order-10105-creating-emergency-board-investigate-dispute-between-the-denver-and.json,643,138,1.5306077003479004,
executive-order-10106-creating-board-inquiry-report-labor-dispute-affecting-the-bituminous.json,647,196,1.5563669204711914,
executive-order-10110-presidents-communications-policy-board.json,923,114,1.2650036811828613,
executive-order-10108-designating-the-united-states-mission-the-united-nations-and.json,935,178,1.5170471668243408,
executive-order-10111-establishing-seal-for-the-central-intelligence-agency.json,668,194,1.532364845275879,
executive-order-10113-delegating-the-authority-the-president-prescribe-clothing-allowances.json,857,123,1.33396577835083,
executive-order-10115-restoring-certain-land-reserved-for-military-purposes-the.json,1191,58,1.0483105182647705,
executive-order-10109-creating-emergency-board-investigate-disputes-between-the-texas.json,710,247,2.103194236755371,
executive-order-10114-creating-emergency-board-investigate-dispute-between-the-terminal.json,652,190,1.701653242111206,
executive-order-10117-creating-emergency-board-investigate-dispute-between-the-carriers.json,642,119,1.3760762214660645,
executive-order-10121-transferring-the-territory-hawaii-title-certain-public-land-needed.json,4671,40,0.7872743606567383,
executive-order-10116-amending-portions-the-selective-service-regulations-and-paragraph-2.json,4258,200,1.807102918624878,
executive-order-10118-further-amendment-executive-order-no-10084-october-12-1949.json,629,155,1.502228021621704,
executive-order-10119-regulations-governing-the-payment-basic-allowances-for-subsistence.json,1263,148,1.5156357288360596,
executive-order-10112-creating-emergency-board-investigate-dispute-betweent-the-carriers.json,679,411,2.9840829372406006,
executive-order-10120-creating-emergency-board-investigate-dispute-between-the-carriers.json,673,241,1.8562464714050293,
