path,input_tokens,output_tokens,duration
executive-order-1.json,371,62,1.3634605407714844
executive-order-0.json,371,60,1.3662490844726562
commission-appointing-commissioners-for-surveying-the-district-territory-for-the-permanent.json,626,77,1.394024133682251
executive-order-1000-alamo-national-forest-new-mexico.json,1240,122,1.6254751682281494
executive-order-100.json,637,140,1.8083481788635254
executive-order-10.json,413,142,1.8229055404663086
executive-order-10000-regulations-governing-additional-compensation-and-credit-granted.json,4882,121,1.9686429500579834
executive-order-10002-exemption-lawrence-m-lawson-from-compulsory-retirement-for-age.json,331,60,0.9534761905670166
executive-order-10001-prescribing-or-amending-portions-the-selective-service-regulations.json,21415,186,2.455291271209717
executive-order-10003-providing-for-the-investigation-and-report-displaced-persons-seeking.json,540,79,1.2330493927001953
executive-order-10005-establishing-the-presidents-advisory-commission-the-relation-federal.json,771,89,1.26216721534729
executive-order-10006-preparation-presentation-filing-and-publicaton-executive-orders-and.json,1310,82,1.2309908866882324
executive-order-10004-prescribing-procedures-for-the-administration-the-reciprocal-trade.json,2859,117,1.654571771621704
executive-order-10008-amending-the-selective-service-regulations.json,7220,79,1.3599059581756592
executive-order-10009-revoking-part-executive-orders-no-589-march-14-1907-and-no-1712.json,826,73,1.0769870281219482
executive-order-10011-authorizing-the-secretary-state-exercise-certain-powers-the.json,1326,99,1.285522699356079
executive-order-10010-creating-emergency-board-investigate-disputes-between-the-akron.json,2405,98,1.62398362159729
executive-order-10012-excluding-from-the-provisions-the-classification-act-1923-amended.json,587,89,1.2329778671264648
executive-order-10013-establishing-the-presidents-committee-religious-and-moral-welfare.json,709,86,1.1901912689208984
executive-order-10007-organization-the-reserve-units-the-armed-forces.json,707,297,2.5450191497802734
executive-order-10014-directing-federal-agencies-cooperate-with-sate-and-local-authorities.json,544,114,1.3552289009094238
executive-order-10016-coat-arms-seal-and-flag-the-vice-president-the-united-states.json,841,84,1.2233433723449707
executive-order-10015-amendment-executive-order-no-10010-creating-emergency-board.json,600,98,1.378237009048462
executive-order-10018-transferring-the-control-and-jurisdiction-over-certain-tracts-land.json,1968,60,1.0882012844085693
executive-order-10017-amendment-the-regulations-governing-the-appointment-postmasters-the.json,584,109,1.3870244026184082
executive-order-10020-prescribing-the-manual-for-courts-martial-us-army-1949.json,731,78,1.1391475200653076
executive-order-10021-further-exemption-harry-b-mitchell-from-compulsory-retirement-for.json,508,78,1.0896711349487305
executive-order-10022-transferring-the-use-possession-and-control-certain-lands-from-the.json,680,81,1.0745515823364258
executive-order-10019-excusing-federal-employees-from-duty-one-half-day-december-24-1948.json,533,146,1.6162467002868652
executive-order-10023-amendment-executive-order-9984-july-31-1948-prescribing-regulations.json,831,90,1.22129225730896
executive-order-10024-restoration-lands-location-and-entry-under-the-mining-laws-the.json,546,103,1.464430809020996
executive-order-10025-designating-public-international-organizations-entitled-enjoy.json,643,74,1.0108067989349365
executive-order-10026-korea.json,323,42,1.0746264457702637
executive-order-10026-adopting-the-manual-for-courts-martial-us-army-1949-for-use-the.json,2658,94,1.2514166831970215
executive-order-10028-defining-noncombatant-service-and-noncombatant-training.json,537,93,1.3319785594940186
executive-order-10027-extension-trust-periods-indian-lands-expiring-during-the-calendar.json,582,101,1.4151692390441895
executive-order-10030-administration-and-supervision-the-district-columbia-national-guard.json,582,101,1.1202805042266846
executive-order-10029-creating-emergency-board-investigate-dispute-between-the-northwest.json,613,93,1.3412089347839355
executive-order-10031-separation-officers-the-public-health-service-grounds-disloyalty.json,727,109,1.2403919696807861
executive-order-10032-creating-emergency-board-investigate-dispute-between-the-akron.json,1321,92,1.3466317653656006
executive-order-10035-designating-the-honorable-luis-negron-fernandez-acting-judge-the.json,520,70,0.9364299774169922
executive-order-10036-restoration-lands-location-and-entry-under-the-mining-laws-the.json,579,58,0.9153625965118408
executive-order-10034-further-exemption-john-monroe-johnson-from-compulsory-retirement-for.json,557,94,1.2841386795043945
executive-order-10033-regulations-governing-the-providing-statistical-information.json,1179,121,1.4661614894866943
executive-order-10037-creating-emergency-board-investigate-dispute-between-the-denver-rio.json,623,124,1.4985663890838623
executive-order-10038-creating-emergency-board-investigate-dispute-between-the-carriers.json,641,118,1.388744592666626
executive-order-10039-authorizing-the-civil-service-commission-confer-competitive-status.json,553,96,1.2079458236694336
executive-order-10040-amendment-executive-order-no-9999-suspending-certain-statutory.json,644,83,1.23453950881958
executive-order-10041-restoring-certain-lands-the-united-states-naval-reservation-hanapepe.json,869,80,1.2332305908203125
executive-order-10042-making-certain-changes-the-customs-field-organization.json,847,75,1.253051519393921
