"president","year","term_number"
"George Washington","1789","1"
"George Washington","1790","1"
"George Washington","1791","1"
"George Washington","1792","1"
"George Washington","1793","2"
"George Washington","1794","2"
"George Washington","1795","2"
"George Washington","1796","2"
"George Washington","1797","2"
"John Adams","1797","3"
"John Adams","1798","3"
"John Adams","1799","3"
"John Adams","1800","3"
"John Adams","1801","3"
"Thomas Jefferson","1801","4"
"Thomas Jefferson","1802","4"
"Thomas Jefferson","1803","4"
"Thomas Jefferson","1804","4"
"Thomas Jefferson","1805","5"
"Thomas Jefferson","1806","5"
"Thomas Jefferson","1807","5"
"Thomas Jefferson","1808","5"
"Thomas Jefferson","1809","5"
"James Madison","1809","6"
"James Madison","1810","6"
"James Madison","1811","6"
"James Madison","1812","6"
"James Madison","1813","7"
"James Madison","1814","7"
"James Madison","1815","7"
"James Madison","1816","7"
"James Madison","1817","7"
"James Monroe","1817","8"
"James Monroe","1818","8"
"James Monroe","1819","8"
"James Monroe","1820","8"
"James Monroe","1821","9"
"James Monroe","1822","9"
"James Monroe","1823","9"
"James Monroe","1824","9"
"James Monroe","1825","9"
"John Quincy Adams","1825","10"
"John Quincy Adams","1826","10"
"John Quincy Adams","1827","10"
"John Quincy Adams","1828","10"
"John Quincy Adams","1829","10"
"Andrew Jackson","1829","11"
"Andrew Jackson","1830","11"
"Andrew Jackson","1831","11"
"Andrew Jackson","1832","11"
"Andrew Jackson","1833","12"
"Andrew Jackson","1834","12"
"Andrew Jackson","1835","12"
"Andrew Jackson","1836","12"
"Andrew Jackson","1837","12"
"Martin van Buren","1837","13"
"Martin van Buren","1838","13"
"Martin van Buren","1839","13"
"Martin van Buren","1840","13"
"Martin van Buren","1841","13"
"William Henry Harrison","1841","14"
"John Tyler","1841","14"
"John Tyler","1842","14"
"John Tyler","1843","14"
"John Tyler","1844","14"
"John Tyler","1845","14"
"James K. Polk","1845","15"
"James K. Polk","1846","15"
"James K. Polk","1847","15"
"James K. Polk","1848","15"
"James K. Polk","1849","15"
"Zachary Taylor","1849","16"
"Zachary Taylor","1850","16"
"Millard Fillmore","1850","16"
"Millard Fillmore","1851","16"
"Millard Fillmore","1852","16"
"Millard Fillmore","1853","16"
"Franklin Pierce","1853","17"
"Franklin Pierce","1854","17"
"Franklin Pierce","1855","17"
"Franklin Pierce","1856","17"
"Franklin Pierce","1857","17"
"James Buchanan","1857","18"
"James Buchanan","1858","18"
"James Buchanan","1859","18"
"James Buchanan","1860","18"
"James Buchanan","1861","18"
"Abraham Lincoln","1861","19"
"Abraham Lincoln","1862","19"
"Abraham Lincoln","1863","19"
"Abraham Lincoln","1864","19"
"Abraham Lincoln","1865","19"
"Andrew Johnson","1865","20"
"Andrew Johnson","1866","20"
"Andrew Johnson","1867","20"
"Andrew Johnson","1868","20"
"Andrew Johnson","1869","20"
"Ulysses S. Grant","1869","21"
"Ulysses S. Grant","1870","21"
"Ulysses S. Grant","1871","21"
"Ulysses S. Grant","1872","21"
"Ulysses S. Grant","1873","22"
"Ulysses S. Grant","1874","22"
"Ulysses S. Grant","1875","22"
"Ulysses S. Grant","1876","22"
"Ulysses S. Grant","1877","22"
"Rutherford B. Hayes","1877","23"
"Rutherford B. Hayes","1878","23"
"Rutherford B. Hayes","1879","23"
"Rutherford B. Hayes","1880","23"
"Rutherford B. Hayes","1881","23"
"James A. Garfield","1881","24"
"Chester A. Arthur","1881","24"
"Chester A. Arthur","1882","24"
"Chester A. Arthur","1883","24"
"Chester A. Arthur","1884","24"
"Chester A. Arthur","1885","24"
"Grover Cleveland","1885","25"
"Grover Cleveland","1886","25"
"Grover Cleveland","1887","25"
"Grover Cleveland","1888","25"
"Grover Cleveland","1889","25"
"Benjamin Harrison","1889","26"
"Benjamin Harrison","1890","26"
"Benjamin Harrison","1891","26"
"Benjamin Harrison","1892","26"
"Benjamin Harrison","1893","26"
"Grover Cleveland","1893","27"
"Grover Cleveland","1894","27"
"Grover Cleveland","1895","27"
"Grover Cleveland","1896","27"
"Grover Cleveland","1897","27"
