Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY23,,OVER THE PHONE TRANSLATION,CA/OCS,Recompete,Cyracom,Competitive,5 years,Q1,$1M-$5M,USA,"Williams, Denise A",,541930 - Translation and Interpretation Services,1000000.0,5000000.0
FY23,,ARCHITECTURE AND SPACE PLANNING CONSULTING,CA/EX/GSD,Recompete,ARCHVIA,Competitive,5 years,Q2,$5M-$10M,USA,"Kayani, Bilal A",,541310 - Architectural Services,5000000.0,10000000.0
FY23,,QUALTRICS SOFTWARE,CA/C,New,,,5 years,Q3,$500K-$1M,USA,"Rush, Noelle L",,511210 - Software Publishers,500000.0,1000000.0
FY23,,TOMIS - OFM (THE OFFICE OF FOREIGN MISSIONS INFORMATION SYSTEM),OFM/OPS/IS,Recompete,Alpha Omega Integration LLC,Competitive,5 years,Q3,$1M-$5M,USA,"Douglas, Clayton F",,519190 - All Other Information Services,1000000.0,5000000.0
FY23,,MOBILE TELEPHONE COMMUNICATIONS,P/WHA/LIMA/GSO,Recompete,Telefonica del Peru S.A.A.,Competitive,5 years,Q1,$250k-500K,PERU,"Quimpo, Carlos A",,517210 - Wireless Telecommunications Carriers (except Satellite),250000.0,500000.0
FY23,,TELECOMMUNICATION/INTERNET SERVICE,P/WHA/LIMA/GSO,Recompete,America Movil Peru S.A.C,Competitive,5 years,Q4,$250k-500K,PERU,"Quimpo, Carlos A",,517110 - Wired Telecommunications Carriers,250000.0,500000.0
FY23,,LES HEALTH AND LIFE INSURANCE,P/WHA/LIMA/GSO,Recompete,Pacifico S.A. EPS,Competitive,5 years,Q4,$10M-$20M,PERU,"Quimpo, Carlos A",,524114 - Direct Health and Medical Insurance Carriers,10000000.0,20000000.0
FY23,,AUDITING,WHA/EX/ADMIN,New,,,3 years,Q3,$250k-500K,USA,"Mitchell, Guy R.",,561990 - All Other Support Services,250000.0,500000.0
FY23,,REIMBURSEMENTS,WHA/EX/ADMIN,New,,,3 years,Q3,$250k-500K,USA,"Mitchell, Guy R.",,561990 - All Other Support Services,250000.0,500000.0
FY23,,FINANCIAL AND RESOURCE MANAGEMENT SUPPORT SERVICES,DS/EX/CFO,New,,,5 years,Q2,$100M-$500M,USA,"Lichliter, Erika L",,541611 - Administrative Management and General Management Consulting Services,100000000.0,500000000.0
FY23,,WORLD WIDE SERVICE FOR CONVETIONAL WEAPONS DESTRUCTION,PM/WRA,Recompete,Tetra Tech Inc,Competitive,4 years,Q3,>$500M,WORLD WIDE,"Garner, Bryon",,339999 - All Other Miscellaneous Manufacturing,500000000.0,
FY23,,VEHICLE MAINTENANCE FACILITY,DS/T/FASTC/FTO,Recompete,Skookum,Competitive,5 years,Q4,$20M-$50M,USA,"Roper, Melton A",,561210 - Facilities Support Services12,20000000.0,50000000.0
FY23,,LEARNING MANAGEMENT SYSTEM,DS/T/FASTC/TDA,Recompete,Meridian Knowledge Solutions,Competitive,5 years,Q4,$1M-$5M,USA,"Roper Jr, BJ (Melton)",,541519 - Other Computer Related Services,1000000.0,5000000.0
FY23,,"COMMERCIAL OFF-THE-SHELF (COTS) EMERGENCY NOTIFICATION SOLUTION/PRODUCT AND ASSOCIATED SUPPORT SERVICES AND MAINTENANCE NECESSARY TO MANAGE A SYSTEM FOR GENERATING, SENDING, AND TRACKING ACTUAL/SIMULATED EMERGENCY NOTIFICATION MESSAGES",IRM/FO/ITI/LWS,Recompete,"Indigenous Technologies, LLC",Competitive,5 years,Q3,$20M-$50M,USA,,,511210 - Software Publishers,20000000.0,50000000.0
FY23,,IQ RECORDER AND VECTOR GENERATOR UTILIZED WITH FSWT TO RECORD AND ANALYZE EMANATIONS,DS/CTS/TIE/FTD,New,,,1 time purchase,Q1,$250k-500K,USA,"Molina, Kate",,519190 - All Other Information Services,250000.0,500000.0
FY23,,DATA LOSS PREVENTION,DS/CTS/CMO/CO,New,,,4 years,Q2,$1M-$5M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
